9 0 6 | 15 14 9
5 | 8
13 4 15 1 15 5 | 1 4 15 14 8 2
70 73 93 42 26 58 37 | 33 73 72 46 31 0 70
48 | 11
52 | 7
36 83 52 17 34 4 50 | 10 16 52 64 61 2 75
35 30 22 2 34 0 76 33 43 | 37 64 13 4 42 90 40 93 67
57 69 21 96 56 63 27 42 31 | 56 62 20 75 91 72 42 90 68
58 6 | 80 39
57 27 91 83 22 76 62 94 46 59 | 6 29 74 22 8 36 55 13 52 33
66 | 26
61 12 66 50 3 74 | 22 73 12 9 15 49
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
0 82 59 52 46 | 79 42 26 86 2
57 82 69 57 95 6 68 85 31 | 89 3 13 91 21 70 62 81 16
56 | 53
11 19 27 73 22 58 31 7 57 | 71 39 94 66 97 48 98 74 68
0 25 61 | 67 80 84
31 3 50 15 | 90 34 88 2
14 29 61 41 | 54 66 34 37
50 78 67 60 37 52 36 56 71 46 | 26 27 5 72 72 68 11 43 27 80
74 23 61 3 | 66 88 42 37
32 95 96 4 84 65 | 21 38 48 21 50 67
90 88 58 5 67 2 | 3 91 22 23 44 7
75 63 28 75 | 81 12 12 22
19 53 68 96 79 91 58 | 70 93 21 56 48 76 77
31 83 61 60 42 78 76 | 33 45 97 32 95 5 38
65 96 74 43 86 35 2 | 42 78 35 78 65 7 59
46 | 63
54 58 97 24 86 4 47 55 37 5 | 22 82 37 24 20 97 14 87 77 23
39 98 76 | 40 65 17
61 | 71
43 | 46
68 8 88 21 15 63 77 8 21 90 | 45 67 92 27 32 16 46 85 72 76
21 13 25 90 35 34 28 55 51 | 46 2 9 23 92 52 24 37 24
58 8 27 65 75 76 1 54 5 | 45 72 90 83 4 6 55 43 88
36 80 27 16 57 84 | 92 11 40 68 27 75
64 67 40 45 67 43 52 | 32 99 11 50 51 49 79
3 61 25 | 90 57 94
21 61 49 7 | 55 43 30 37
98 61 5 89 72 13 | 12 44 64 35 59 99
86 90 80 62 93 47 57 47 | 51 91 90 38 22 17 91 11
