[4,3] [3,-3]|(1 [10,9,4] [9,4,2])
[-1,-5] [5,-2]|(1 [4,7,8] [2,9,0]);(2 [0,7,1] [5,9,8])
[-4,-5] [-5,-3]|(1 [4,8,6] [0,9,2]);(2 [8,-1,3] [0,5,4])
[99,35] [93,55]|(1 [-47,-19,-33] [17,-75,-7]);(2 [-98,83,67] [-65,-91,-94]);(3 [90,43,-92] [41,3,34]);(4 [-80,19,-3] [-71,-29,65]);(5 [-6,92,53] [-72,23,77]);(6 [81,25,-6] [-71,94,50]);(7 [95,93,65] [67,-88,69]);(8 [-95,56,-97] [-18,-13,-93]);(9 [-83,-24,-75] [51,-25,-32]);(10 [79,18,-74] [61,-22,55]);(11 [7,83,46] [-30,47,62]);(12 [-68,-44,-57] [22,-33,-81])
[92,47] [38,83]|(1 [-45,-71,98] [-93,87,-30]);(2 [25,11,-2] [-57,-49,84]);(3 [61,80,27] [5,24,-52]);(4 [74,55,-64] [53,-75,69]);(5 [68,-11,-35] [-7,-63,-70]);(6 [-63,54,-61] [80,-31,-41]);(7 [-58,-36,-67] [56,-8,50]);(8 [-41,45,-18] [46,-86,25]);(9 [1,58,3] [77,-52,17]);(10 [-13,69,99] [-3,61,45])
[22,30] [87,31]|(1 [29,-48,1] [-13,-57,-10]);(2 [-97,69,-65] [3,-1,-30]);(3 [17,-30,-48] [52,-52,38]);(4 [80,-82,26] [-7,35,-71])
[0,0] [100,100]|(1 [2,3,5] [42,61,10]);(3 [5,6,6] [12,3,7]);(2 [3,2,1] [12,6,7])
[29,22] [46,34]|(1 [-53,68,-80] [40,-11,54]);(2 [100,-21,90] [-92,66,44]);(3 [40,-66,-85] [82,-51,30]);(4 [-53,-59,1] [-89,-73,-7]);(5 [4,-21,-36] [58,47,-76]);(6 [-75,-93,55] [-75,51,-20]);(7 [59,85,78] [-64,63,71]);(8 [-73,-35,76] [57,-17,-42])
[67,74] [44,96]|(1 [-84,-57,39] [46,-59,-94]);(2 [44,-20,-48] [-84,-97,-99]);(3 [57,42,73] [-15,45,46]);(4 [51,44,68] [-91,34,4]);(5 [-22,-38,57] [6,47,-57]);(6 [-20,58,72] [-73,-23,-96]);(7 [72,31,78] [-6,-13,-58]);(8 [-11,-41,-60] [97,-11,-85]);(9 [60,-27,54] [29,-77,-63]);(10 [-86,-84,34] [-91,-98,4]);(11 [-19,68,79] [87,-27,-78]);(12 [85,-2,-67] [42,53,92])
[57,50] [83,17]|(1 [-43,88,89] [-75,-86,-42]);(2 [-56,-39,-68] [64,-2,-13]);(3 [50,-54,46] [56,-92,-28]);(4 [99,-76,-58] [-70,96,4]);(5 [100,23,-10] [99,-84,-89]);(6 [-33,-91,-61] [-5,27,-43]);(7 [-49,80,-85] [55,69,72]);(8 [-69,-46,22] [-71,14,-42]);(9 [95,-64,81] [-8,33,-22]);(10 [55,39,93] [-20,39,-25]);(11 [47,-40,1] [-55,9,-83])
[80,88] [7,13]|(1 [-63,-55,-70] [0,59,-57]);(2 [-83,-53,14] [-13,95,-92]);(3 [-82,15,40] [-77,58,29]);(4 [-15,-88,14] [0,13,14]);(5 [-88,39,59] [42,-5,36]);(6 [-40,25,31] [-56,80,-45]);(7 [30,23,-4] [4,89,96]);(8 [35,84,93] [62,-75,-65]);(9 [-38,22,-42] [-68,-11,-55]);(10 [73,-32,9] [60,-13,77]);(11 [-31,66,44] [-28,99,44])
[96,27] [22,13]|(1 [78,57,42] [-33,39,46]);(2 [86,94,44] [-37,-51,33]);(3 [88,28,13] [87,66,87]);(4 [5,32,-6] [60,58,-32]);(5 [64,22,97] [21,-58,-56]);(6 [14,87,79] [41,-58,15]);(7 [-20,-33,-95] [94,-37,-90]);(8 [-67,15,80] [-15,-64,-51]);(9 [74,67,-30] [-91,-34,-21]);(10 [11,0,28] [-20,1,-12]);(11 [29,-100,12] [-63,29,-74]);(12 [-87,-93,68] [59,-36,99]);(13 [-95,-53,-6] [71,28,-87])
[0,0] [1,1]|(1 [1,2,3] [2,3,4]);(2 [0,0,0] [100,100,100])
[21,74] [9,16]|(1 [-33,85,-60] [-44,-95,-57]);(2 [-6,-46,-95] [24,-99,-16]);(3 [9,51,-37] [4,-52,-21]);(4 [-41,37,35] [-76,77,-29]);(5 [83,-85,-51] [-79,69,-13]);(6 [76,58,66] [97,4,93]);(7 [95,-45,-77] [-41,-45,90]);(8 [42,31,-68] [43,1,-42])
[75,50] [58,1]|(1 [-41,64,-66] [-51,-69,-10]);(2 [56,-89,-7] [61,-64,2]);(3 [-14,27,-73] [-46,93,-33]);(4 [-89,-84,89] [44,78,90]);(5 [62,-29,67] [-12,4,64]);(6 [39,-26,38] [-64,-92,32]);(7 [-88,53,25] [30,83,-5]);(8 [35,26,83] [89,-21,5]);(9 [-77,60,15] [68,-92,41]);(10 [10,20,-76] [38,-41,-56]);(11 [-55,-27,-90] [21,78,15])
[38,17] [90,58]|(1 [-57,66,-15] [86,-13,-21]);(2 [-31,77,-10] [79,-56,11]);(3 [21,-82,-27] [-22,56,-83]);(4 [-2,-61,39] [27,-2,-73]);(5 [87,35,-17] [-47,6,62]);(6 [-39,-88,-91] [-6,-25,96])
[1,21] [87,75]|(1 [33,51,-34] [-67,13,43]);(2 [30,87,-32] [34,-46,55]);(3 [54,74,-29] [44,-90,-67]);(4 [-35,-30,53] [90,37,38]);(5 [6,-18,39] [-33,6,65]);(6 [43,11,-23] [55,-38,-53]);(7 [-45,88,-97] [38,-21,-30]);(8 [5,29,-64] [28,7,42]);(9 [-96,-13,38] [68,-20,-65]);(10 [-38,83,-65] [-57,-87,63]);(11 [-99,78,69] [1,68,-86]);(12 [-43,74,5] [-24,-46,35])
[37,24] [5,8]|(1 [72,-34,63] [70,-97,59]);(2 [14,-2,35] [13,70,44]);(3 [-14,-17,75] [-50,61,-62]);(4 [60,52,-6] [36,-34,-11]);(5 [74,72,70] [51,-10,-42])
[99,20] [66,87]|(1 [-1,-49,25] [-16,22,-42]);(2 [-41,-30,-90] [-68,-6,-15]);(3 [-44,87,87] [3,-57,-35]);(4 [44,68,28] [98,-62,-37]);(5 [-28,-55,-56] [54,53,97]);(6 [-73,-78,95] [-81,-11,76])
[94,94] [11,98]|(1 [90,-88,-11] [-17,45,22]);(2 [-51,86,-87] [23,24,69]);(3 [-100,0,-70] [-37,8,-73]);(4 [-61,-80,31] [27,-23,-9]);(5 [83,-59,38] [-19,100,81]);(6 [13,92,-87] [50,-16,-60]);(7 [74,75,89] [39,-92,72]);(8 [57,-59,100] [-22,97,-7]);(9 [51,-59,71] [10,29,-88])
[21,51] [25,6]|(1 [-38,69,73] [-69,35,-61]);(2 [70,75,-79] [66,-23,-88]);(3 [-62,62,-34] [-54,60,-88]);(4 [62,40,68] [-25,-60,51]);(5 [83,-7,-18] [-7,-88,-19]);(6 [-12,-68,-86] [41,28,71]);(7 [83,53,35] [-49,53,5]);(8 [77,74,-44] [-33,-62,98])
[63,69] [81,68]|(1 [-41,48,97] [63,99,35]);(2 [38,62,27] [2,-65,11]);(3 [28,97,-73] [49,-52,-47]);(4 [-79,59,27] [-99,-67,4]);(5 [-60,4,-37] [-9,-48,96]);(6 [50,-46,62] [29,22,-98]);(7 [80,39,-79] [13,31,37]);(8 [93,13,-74] [-78,-95,-14]);(9 [-83,-71,95] [18,-12,-27]);(10 [-77,91,-58] [-73,65,61]);(11 [33,9,47] [64,-16,18]);(12 [-34,5,-7] [-27,-30,86]);(13 [22,51,78] [34,-34,-78]);(14 [47,41,26] [-20,88,-69]);(15 [-79,-13,-58] [37,78,-90])
[0,0] [1,0]|(1 [2,3,5] [42,61,10]);(2 [5,6,6] [12,3,7]);(3 [51,51,51] [101,101,101])
