Vampires: 1, Zombies: 1, Witches: 1, Houses: 1
Vampires: 3, Zombies: 2, Witches: 1, Houses: 10
Vampires: 24, Zombies: 24, Witches: 60, Houses: 21
Vampires: 64, Zombies: 85, Witches: 76, Houses: 63
Vampires: 51, Zombies: 68, Witches: 32, Houses: 16
Vampires: 37, Zombies: 31, Witches: 72, Houses: 100
Vampires: 15, Zombies: 56, Witches: 62, Houses: 59
Vampires: 93, Zombies: 89, Witches: 84, Houses: 10
Vampires: 32, Zombies: 25, Witches: 72, Houses: 20
Vampires: 95, Zombies: 3, Witches: 97, Houses: 62
Vampires: 63, Zombies: 16, Witches: 79, Houses: 53
Vampires: 5, Zombies: 67, Witches: 58, Houses: 27
Vampires: 85, Zombies: 76, Witches: 4, Houses: 70
Vampires: 68, Zombies: 93, Witches: 14, Houses: 35
Vampires: 97, Zombies: 58, Witches: 88, Houses: 5
Vampires: 38, Zombies: 72, Witches: 64, Houses: 73
Vampires: 13, Zombies: 51, Witches: 98, Houses: 11
Vampires: 99, Zombies: 29, Witches: 35, Houses: 44
Vampires: 75, Zombies: 62, Witches: 34, Houses: 62
Vampires: 69, Zombies: 4, Witches: 37, Houses: 6
Vampires: 20, Zombies: 63, Witches: 52, Houses: 11
Vampires: 86, Zombies: 83, Witches: 22, Houses: 66
Vampires: 29, Zombies: 38, Witches: 23, Houses: 86
Vampires: 16, Zombies: 15, Witches: 42, Houses: 77
Vampires: 91, Zombies: 23, Witches: 2, Houses: 46
Vampires: 55, Zombies: 86, Witches: 41, Houses: 64
Vampires: 33, Zombies: 21, Witches: 100, Houses: 56
Vampires: 89, Zombies: 52, Witches: 56, Houses: 5
Vampires: 76, Zombies: 37, Witches: 25, Houses: 60
Vampires: 76, Zombies: 7, Witches: 52, Houses: 64
Vampires: 63, Zombies: 99, Witches: 67, Houses: 13
Vampires: 10, Zombies: 73, Witches: 0, Houses: 24
Vampires: 15, Zombies: 20, Witches: 83, Houses: 2
Vampires: 25, Zombies: 7, Witches: 65, Houses: 34
Vampires: 68, Zombies: 35, Witches: 82, Houses: 53
Vampires: 79, Zombies: 98, Witches: 68, Houses: 17
Vampires: 10, Zombies: 61, Witches: 44, Houses: 42
Vampires: 7, Zombies: 21, Witches: 90, Houses: 68
Vampires: 63, Zombies: 52, Witches: 47, Houses: 54
Vampires: 87, Zombies: 72, Witches: 65, Houses: 15
Vampires: 97, Zombies: 50, Witches: 97, Houses: 86
Vampires: 10, Zombies: 48, Witches: 80, Houses: 48
